,Customer_Name,Similar_Customer_1,Similar_Customer_2,Similar_Customer_3,Similar_Customer_4,Similar_Customer_5
2171,C_1508881,"('C_171388', 0.5645611395436272)","('C_2328925', 0.5932186160311026)","('C_2266366', 0.5946630208632726)","('C_2098191', 0.624665349725883)","('C_1725391', 0.6336752483440298)"
2172,C_1509142,"('C_450741', 0.5527864045000421)","('C_1883264', 0.5624674330712729)","('C_1408613', 0.6837722339831621)","('C_221508', 0.6837722339831621)","('C_1309442', 0.6837722339831621)"
2173,C_150964,"('C_1863447', 0.7642977396044842)","('C_539355', 0.7989924369481576)","('C_383951', 0.8173954536351826)","('C_612269', 0.827867406835226)","('C_2488533', 0.8333333333333334)"
2174,C_1509669,"('C_1352311', 0.6666666666666667)","('C_851622', 0.6666666666666667)","('C_401375', 0.6666666666666667)","('C_2483930', 0.6666666666666667)","('C_1729865', 0.7224365764723235)"
2175,C_1509880,"('C_1670601', 0.533653532991758)","('C_2411866', 0.5961277301451786)","('C_884581', 0.6145429579101069)","('C_693815', 0.6962147003371031)","('C_1342576', 0.7055050294871001)"
2176,C_1510339,"('C_2483930', 0.8110177634953863)","('C_851622', 0.8110177634953863)","('C_1352311', 0.8110177634953863)","('C_1460552', 0.8143364822498897)","('C_2045032', 0.819112785566479)"
2177,C_1510386,"('C_1207545', 0.4324194761915173)","('C_2568550', 0.48997220916087936)","('C_2143602', 0.506942610023006)","('C_671589', 0.5257052778927547)","('C_688085', 0.5262164240577439)"
2178,C_1510519,"('C_1177617', 0.7113248654051871)","('C_2340650', 0.7113248654051871)","('C_1090117', 0.8055300784770418)","('C_576141', 0.8686935671402775)","('C_841659', 0.9062644505461601)"
2179,C_1510580,"('C_2587234', 0.5539363241587554)","('C_431687', 0.6558544026064566)","('C_2545955', 0.7283525852552479)","('C_2442481', 0.7331557093872361)","('C_381232', 0.7821709073326759)"
2180,C_1510828,"('C_756032', 0.7418011102528388)","('C_1305655', 0.8472249965670755)","('C_1911085', 0.8585786437626906)","('C_958627', 0.8585786437626906)","('C_1928050', 0.8651600275073515)"
2181,C_151083,"('C_2138908', 0.8203946979732251)","('C_2018455', 0.8333333333333334)","('C_1460689', 0.8639172365120457)","('C_766360', 0.8776090696944953)","('C_2402188', 0.882148869802242)"
2182,C_1510967,"('C_1672214', 0.7958758547680684)","('C_2018294', 0.7958758547680684)","('C_278150', 0.8232233047033631)","('C_1203381', 0.8319553183728923)","('C_398769', 0.8663693790437879)"
2183,C_1510979,"('C_107035', 0.6457539241366342)","('C_277712', 0.6555657781102527)","('C_631743', 0.6555657781102527)","('C_958723', 0.6640098394913806)","('C_615850', 0.674950270270796)"
2184,C_1511091,"('C_524449', 0.6499757801489086)","('C_1881737', 0.6950531266992677)","('C_542746', 0.6989131282011741)","('C_1020395', 0.702949476685659)","('C_1690366', 0.7136439539992394)"
2185,C_1511372,"('C_1352311', 0.5158796031779067)","('C_2483930', 0.5158796031779067)","('C_851622', 0.5158796031779067)","('C_1729865', 0.5968776557754476)","('C_1611816', 0.6576751844963755)"
